Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Everglades NP	EVER	National Park	Southeast 	FL	1979	1	94,405
Everglades NP	EVER	National Park	Southeast 	FL	1979	2	145,610
Everglades NP	EVER	National Park	Southeast 	FL	1979	3	75,386
Everglades NP	EVER	National Park	Southeast 	FL	1979	4	67,932
Everglades NP	EVER	National Park	Southeast 	FL	1979	5	38,994
Everglades NP	EVER	National Park	Southeast 	FL	1979	6	26,589
Everglades NP	EVER	National Park	Southeast 	FL	1979	7	42,045
Everglades NP	EVER	National Park	Southeast 	FL	1979	8	59,536
Everglades NP	EVER	National Park	Southeast 	FL	1979	9	20,699
Everglades NP	EVER	National Park	Southeast 	FL	1979	10	34,949
Everglades NP	EVER	National Park	Southeast 	FL	1979	11	41,571
Everglades NP	EVER	National Park	Southeast 	FL	1979	12	70,386
Everglades NP	EVER	National Park	Southeast 	FL	1980	1	92,517
Everglades NP	EVER	National Park	Southeast 	FL	1980	2	96,585
Everglades NP	EVER	National Park	Southeast 	FL	1980	3	101,797
Everglades NP	EVER	National Park	Southeast 	FL	1980	4	80,500
Everglades NP	EVER	National Park	Southeast 	FL	1980	5	53,627
Everglades NP	EVER	National Park	Southeast 	FL	1980	6	37,721
Everglades NP	EVER	National Park	Southeast 	FL	1980	7	45,665
Everglades NP	EVER	National Park	Southeast 	FL	1980	8	47,624
Everglades NP	EVER	National Park	Southeast 	FL	1980	9	34,889
Everglades NP	EVER	National Park	Southeast 	FL	1980	10	47,387
Everglades NP	EVER	National Park	Southeast 	FL	1980	11	37,498
Everglades NP	EVER	National Park	Southeast 	FL	1980	12	68,434
Everglades NP	EVER	National Park	Southeast 	FL	1981	1	73,845
Everglades NP	EVER	National Park	Southeast 	FL	1981	2	75,996
Everglades NP	EVER	National Park	Southeast 	FL	1981	3	93,947
Everglades NP	EVER	National Park	Southeast 	FL	1981	4	63,246
Everglades NP	EVER	National Park	Southeast 	FL	1981	5	37,226
Everglades NP	EVER	National Park	Southeast 	FL	1981	6	23,647
Everglades NP	EVER	National Park	Southeast 	FL	1981	7	25,168
Everglades NP	EVER	National Park	Southeast 	FL	1981	8	28,262
Everglades NP	EVER	National Park	Southeast 	FL	1981	9	21,493
Everglades NP	EVER	National Park	Southeast 	FL	1981	10	29,005
Everglades NP	EVER	National Park	Southeast 	FL	1981	11	32,084
Everglades NP	EVER	National Park	Southeast 	FL	1981	12	60,802
Everglades NP	EVER	National Park	Southeast 	FL	1982	1	69,165
Everglades NP	EVER	National Park	Southeast 	FL	1982	2	81,665
Everglades NP	EVER	National Park	Southeast 	FL	1982	3	81,796
Everglades NP	EVER	National Park	Southeast 	FL	1982	4	56,259
Everglades NP	EVER	National Park	Southeast 	FL	1982	5	31,248
Everglades NP	EVER	National Park	Southeast 	FL	1982	6	18,985
Everglades NP	EVER	National Park	Southeast 	FL	1982	7	23,111
Everglades NP	EVER	National Park	Southeast 	FL	1982	8	29,049
Everglades NP	EVER	National Park	Southeast 	FL	1982	9	25,022
Everglades NP	EVER	National Park	Southeast 	FL	1982	10	33,944
Everglades NP	EVER	National Park	Southeast 	FL	1982	11	34,009
Everglades NP	EVER	National Park	Southeast 	FL	1982	12	65,915
Everglades NP	EVER	National Park	Southeast 	FL	1983	1	72,105
Everglades NP	EVER	National Park	Southeast 	FL	1983	2	79,968
Everglades NP	EVER	National Park	Southeast 	FL	1983	3	84,433
Everglades NP	EVER	National Park	Southeast 	FL	1983	4	59,209
Everglades NP	EVER	National Park	Southeast 	FL	1983	5	44,570
Everglades NP	EVER	National Park	Southeast 	FL	1983	6	27,576
Everglades NP	EVER	National Park	Southeast 	FL	1983	7	30,348
Everglades NP	EVER	National Park	Southeast 	FL	1983	8	26,189
Everglades NP	EVER	National Park	Southeast 	FL	1983	9	23,056
Everglades NP	EVER	National Park	Southeast 	FL	1983	10	28,780
Everglades NP	EVER	National Park	Southeast 	FL	1983	11	40,683
Everglades NP	EVER	National Park	Southeast 	FL	1983	12	60,522
Everglades NP	EVER	National Park	Southeast 	FL	1984	1	78,179
Everglades NP	EVER	National Park	Southeast 	FL	1984	2	92,958
Everglades NP	EVER	National Park	Southeast 	FL	1984	3	97,997
Everglades NP	EVER	National Park	Southeast 	FL	1984	4	71,594
Everglades NP	EVER	National Park	Southeast 	FL	1984	5	36,831
Everglades NP	EVER	National Park	Southeast 	FL	1984	6	22,900
Everglades NP	EVER	National Park	Southeast 	FL	1984	7	26,928
Everglades NP	EVER	National Park	Southeast 	FL	1984	8	28,283
Everglades NP	EVER	National Park	Southeast 	FL	1984	9	26,494
Everglades NP	EVER	National Park	Southeast 	FL	1984	10	33,688
Everglades NP	EVER	National Park	Southeast 	FL	1984	11	47,202
Everglades NP	EVER	National Park	Southeast 	FL	1984	12	65,604
Everglades NP	EVER	National Park	Southeast 	FL	1985	1	87,719
Everglades NP	EVER	National Park	Southeast 	FL	1985	2	110,139
Everglades NP	EVER	National Park	Southeast 	FL	1985	3	109,046
Everglades NP	EVER	National Park	Southeast 	FL	1985	4	76,131
Everglades NP	EVER	National Park	Southeast 	FL	1985	5	41,505
Everglades NP	EVER	National Park	Southeast 	FL	1985	6	34,807
Everglades NP	EVER	National Park	Southeast 	FL	1985	7	26,379
Everglades NP	EVER	National Park	Southeast 	FL	1985	8	28,732
Everglades NP	EVER	National Park	Southeast 	FL	1985	9	24,205
Everglades NP	EVER	National Park	Southeast 	FL	1985	10	30,487
Everglades NP	EVER	National Park	Southeast 	FL	1985	11	52,152
Everglades NP	EVER	National Park	Southeast 	FL	1985	12	76,344
Everglades NP	EVER	National Park	Southeast 	FL	1986	1	93,007
Everglades NP	EVER	National Park	Southeast 	FL	1986	2	112,967
Everglades NP	EVER	National Park	Southeast 	FL	1986	3	120,713
Everglades NP	EVER	National Park	Southeast 	FL	1986	4	98,993
Everglades NP	EVER	National Park	Southeast 	FL	1986	5	51,024
Everglades NP	EVER	National Park	Southeast 	FL	1986	6	25,271
Everglades NP	EVER	National Park	Southeast 	FL	1986	7	25,510
Everglades NP	EVER	National Park	Southeast 	FL	1986	8	31,136
Everglades NP	EVER	National Park	Southeast 	FL	1986	9	25,685
Everglades NP	EVER	National Park	Southeast 	FL	1986	10	32,164
Everglades NP	EVER	National Park	Southeast 	FL	1986	11	52,037
Everglades NP	EVER	National Park	Southeast 	FL	1986	12	70,565
Everglades NP	EVER	National Park	Southeast 	FL	1987	1	100,672
Everglades NP	EVER	National Park	Southeast 	FL	1987	2	107,662
Everglades NP	EVER	National Park	Southeast 	FL	1987	3	114,552
Everglades NP	EVER	National Park	Southeast 	FL	1987	4	84,997
Everglades NP	EVER	National Park	Southeast 	FL	1987	5	62,830
Everglades NP	EVER	National Park	Southeast 	FL	1987	6	38,834
Everglades NP	EVER	National Park	Southeast 	FL	1987	7	34,629
Everglades NP	EVER	National Park	Southeast 	FL	1987	8	37,656
Everglades NP	EVER	National Park	Southeast 	FL	1987	9	27,660
Everglades NP	EVER	National Park	Southeast 	FL	1987	10	34,663
Everglades NP	EVER	National Park	Southeast 	FL	1987	11	56,210
Everglades NP	EVER	National Park	Southeast 	FL	1987	12	87,128
Everglades NP	EVER	National Park	Southeast 	FL	1988	1	133,552
Everglades NP	EVER	National Park	Southeast 	FL	1988	2	164,724
Everglades NP	EVER	National Park	Southeast 	FL	1988	3	155,497
Everglades NP	EVER	National Park	Southeast 	FL	1988	4	120,486
Everglades NP	EVER	National Park	Southeast 	FL	1988	5	61,844
Everglades NP	EVER	National Park	Southeast 	FL	1988	6	46,557
Everglades NP	EVER	National Park	Southeast 	FL	1988	7	48,432
Everglades NP	EVER	National Park	Southeast 	FL	1988	8	53,154
Everglades NP	EVER	National Park	Southeast 	FL	1988	9	41,846
Everglades NP	EVER	National Park	Southeast 	FL	1988	10	49,613
Everglades NP	EVER	National Park	Southeast 	FL	1988	11	60,979
Everglades NP	EVER	National Park	Southeast 	FL	1988	12	89,504
Everglades NP	EVER	National Park	Southeast 	FL	1989	1	127,647
Everglades NP	EVER	National Park	Southeast 	FL	1989	2	137,603
Everglades NP	EVER	National Park	Southeast 	FL	1989	3	133,571
Everglades NP	EVER	National Park	Southeast 	FL	1989	4	84,281
Everglades NP	EVER	National Park	Southeast 	FL	1989	5	39,312
