Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Big South Fork NRRA	BISO	National River	Southeast 	TN	1988	1	21,762
Big South Fork NRRA	BISO	National River	Southeast 	TN	1988	2	24,140
Big South Fork NRRA	BISO	National River	Southeast 	TN	1988	3	26,935
Big South Fork NRRA	BISO	National River	Southeast 	TN	1988	4	63,212
Big South Fork NRRA	BISO	National River	Southeast 	TN	1988	5	59,341
Big South Fork NRRA	BISO	National River	Southeast 	TN	1988	6	66,719
Big South Fork NRRA	BISO	National River	Southeast 	TN	1988	7	68,458
Big South Fork NRRA	BISO	National River	Southeast 	TN	1988	8	55,141
Big South Fork NRRA	BISO	National River	Southeast 	TN	1988	9	64,977
Big South Fork NRRA	BISO	National River	Southeast 	TN	1988	10	69,751
Big South Fork NRRA	BISO	National River	Southeast 	TN	1988	11	59,411
Big South Fork NRRA	BISO	National River	Southeast 	TN	1988	12	33,164
Big South Fork NRRA	BISO	National River	Southeast 	TN	1989	1	30,045
Big South Fork NRRA	BISO	National River	Southeast 	TN	1989	2	32,411
Big South Fork NRRA	BISO	National River	Southeast 	TN	1989	3	43,243
Big South Fork NRRA	BISO	National River	Southeast 	TN	1989	4	52,042
Big South Fork NRRA	BISO	National River	Southeast 	TN	1989	5	67,513
Big South Fork NRRA	BISO	National River	Southeast 	TN	1989	6	62,469
Big South Fork NRRA	BISO	National River	Southeast 	TN	1989	7	92,852
Big South Fork NRRA	BISO	National River	Southeast 	TN	1989	8	63,894
Big South Fork NRRA	BISO	National River	Southeast 	TN	1989	9	76,906
Big South Fork NRRA	BISO	National River	Southeast 	TN	1989	10	89,314
Big South Fork NRRA	BISO	National River	Southeast 	TN	1989	11	79,631
Big South Fork NRRA	BISO	National River	Southeast 	TN	1989	12	39,863
Big South Fork NRRA	BISO	National River	Southeast 	TN	1990	1	26,349
Big South Fork NRRA	BISO	National River	Southeast 	TN	1990	2	30,977
Big South Fork NRRA	BISO	National River	Southeast 	TN	1990	3	49,461
Big South Fork NRRA	BISO	National River	Southeast 	TN	1990	4	57,034
Big South Fork NRRA	BISO	National River	Southeast 	TN	1990	5	59,979
Big South Fork NRRA	BISO	National River	Southeast 	TN	1990	6	77,694
Big South Fork NRRA	BISO	National River	Southeast 	TN	1990	7	82,036
Big South Fork NRRA	BISO	National River	Southeast 	TN	1990	8	1,16,989
Big South Fork NRRA	BISO	National River	Southeast 	TN	1990	9	66,978
Big South Fork NRRA	BISO	National River	Southeast 	TN	1990	10	1,00,769
Big South Fork NRRA	BISO	National River	Southeast 	TN	1990	11	88,165
Big South Fork NRRA	BISO	National River	Southeast 	TN	1990	12	38,108
Big South Fork NRRA	BISO	National River	Southeast 	TN	1991	1	27,327
Big South Fork NRRA	BISO	National River	Southeast 	TN	1991	2	31,401
Big South Fork NRRA	BISO	National River	Southeast 	TN	1991	3	51,200
Big South Fork NRRA	BISO	National River	Southeast 	TN	1991	4	60,791
Big South Fork NRRA	BISO	National River	Southeast 	TN	1991	5	72,166
Big South Fork NRRA	BISO	National River	Southeast 	TN	1991	6	71,153
Big South Fork NRRA	BISO	National River	Southeast 	TN	1991	7	1,22,256
Big South Fork NRRA	BISO	National River	Southeast 	TN	1991	8	1,15,969
Big South Fork NRRA	BISO	National River	Southeast 	TN	1991	9	64,183
Big South Fork NRRA	BISO	National River	Southeast 	TN	1991	10	1,30,624
Big South Fork NRRA	BISO	National River	Southeast 	TN	1991	11	87,994
Big South Fork NRRA	BISO	National River	Southeast 	TN	1991	12	24,953
Big South Fork NRRA	BISO	National River	Southeast 	TN	1992	1	36,655
Big South Fork NRRA	BISO	National River	Southeast 	TN	1992	2	37,401
Big South Fork NRRA	BISO	National River	Southeast 	TN	1992	3	39,523
Big South Fork NRRA	BISO	National River	Southeast 	TN	1992	4	62,959
